model,R2,MAE,MSE,RMSE
Linear (room type only),0.371962330438223,0.4024954708669582,0.2997680900345633,0.5475108127101813
Multiple linear (scaled),0.48025970180989375,0.35978615898600685,0.24807676999877332,0.49807305688902037
Polynomial degree 2 (scaled),0.534349702220501,0.3382525330895055,0.22225912099633316,0.4714436562266303
